Frame, Time, dT, U, U0, U1, U2, V, V0, V1, V2, T0, T1, T2, N, N0, N1, N2, mfp, mct, P0, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16, P17, P18, P19
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.02,0,0,0,0,8000,4.000092,7996,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.02,0.02,0,0,0,0,8000,4.000092,7996,0,NaN,0,NaN,50000,0,50000,0,0.0005553852,0.000288999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.3005723,0.2805723,9977.594,0,9977.594,0,8000,4.000092,7996,0,NaN,9.6353E+14,NaN,50000,0,50000,0,0.001205134,0.0006176626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.4604348,0.1598625,9977.595,0,9977.595,0,8000,4.000092,7996,0,NaN,9.635301E+14,NaN,50000,0,50000,0,0.002061601,0.001051323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.5028263,0.0423915,9977.594,0,9977.594,0,8000,4.000092,7996,0,NaN,9.6353E+14,NaN,50000,0,50000,0,0.003277391,0.001666673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.5316382,0.0288119,9977.603,0,9977.603,0,8000,4.000092,7996,0,NaN,9.635308E+14,NaN,50000,0,50000,0,0.004832229,0.002427037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.6172293,0.0855911,9977.602,0,9977.602,0,8000,4.000092,7996,0,NaN,9.635307E+14,NaN,50000,0,50000,0,0.006765956,0.003409032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.6436033,0.026374,9977.598,0,9977.598,0,8000,4.000092,7996,0,NaN,9.635303E+14,NaN,50000,0,50000,0,0.008899041,0.004490375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.6704545,0.0268512,9977.595,0,9977.595,0,8000,4.000092,7996,0,NaN,9.635301E+14,NaN,50000,0,50000,0,0.01126195,0.005680704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.6968391,0.0263846,9977.59,0,9977.59,0,8000,4.000092,7996,0,NaN,9.635296E+14,NaN,50000,0,50000,0,0.0139622,0.007049667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.7232486,0.0264095,9977.578,0,9977.578,0,8000,4.000092,7996,0,NaN,9.635285E+14,NaN,50000,0,50000,0,0.01667852,0.0084193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.7496846,0.026436,9977.576,0,9977.576,0,8000,4.000092,7996,0,NaN,9.635283E+14,NaN,50000,0,50000,0,0.01982604,0.01004923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.7760867,0.0264021,9977.577,0,9977.577,0,8000,4.000092,7996,0,NaN,9.635284E+14,NaN,50000,0,50000,0,0.02300716,0.01167289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.8028138,0.0267271,9977.583,0,9977.583,0,8000,4.000092,7996,0,NaN,9.635289E+14,NaN,50000,0,50000,0,0.02701245,0.0136836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.829326,0.0265122,9977.591,0,9977.591,0,8000,4.000092,7996,0,NaN,9.635297E+14,NaN,50000,0,50000,0,0.03056469,0.01553596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.8560039,0.0266779,9977.59,0,9977.59,0,8000,4.000092,7996,0,NaN,9.635296E+14,NaN,50000,0,50000,0,0.03465831,0.01769295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.8825021,0.0264982,9977.588,0,9977.588,0,8000,4.000092,7996,0,NaN,9.635294E+14,NaN,50000,0,50000,0,0.03882224,0.01980294,0,0,0,0,0,0,0,0,0,0,0,0,0.1106611,0,0,0,0,0,0,0
19,0.9087765,0.0262744,9977.578,0,9977.578,0,8000,4.000092,7996,0,NaN,9.635285E+14,NaN,50000,0,50000,0,0.04336469,0.02208831,0,0,0,0,0,0,0,0,0,0,0,0,0.1105253,0,0,0,0,0,0,0
20,0.9355769,0.0268004,9977.58,0,9977.58,0,8000,4.000092,7996,0,NaN,9.635287E+14,NaN,50000,0,50000,0,0.04813705,0.02451573,0,0,0,0,0,0,0,0,0,0,0,0,0.1693988,0,0,0,0,0,0,0
21,0.9617277,0.0261508,9977.573,0,9977.573,0,8000,4.000092,7996,0,NaN,9.63528E+14,NaN,50000,0,50000,0,0.05374871,0.02733908,0,0,0,0,0,0,0,0,0,0,0,0,0.3557849,0,0,0,0,0,0,0
22,0.9878709,0.0261432,9977.581,0,9977.581,0,8000,4.000092,7996,0,NaN,9.635288E+14,NaN,50000,0,50000,0,0.05896424,0.02996489,0,0,0,0,0,0,0,0,0,0,0,0,0.2423764,0,0,0,0,0,0,0
23,1.013854,0.025983,9977.581,0,9977.581,0,8000,4.000092,7996,0,NaN,9.635288E+14,NaN,50000,0,50000,0,0.06447589,0.03280087,0,0,0,0,0,0,0,0,0,0,0,0,0.4423502,0,0,0,0,0,0,0
24,1.040817,0.0269626,9977.583,0,9977.583,0,8000,4.000092,7996,0,NaN,9.635289E+14,NaN,50000,0,50000,0,0.06939265,0.03526334,0,0,0,0,0,0,0.05799278,0,0,0,0,0,0.58532,0,0,0,0,0,0,0
